USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          93  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/6:1H-i915_cleanup]
root          95  0.0  0.0      0     0 ?        S    09:55   0:00 [kswapd0]
root          96  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-cryptd]
root         100  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kthrotld]
root         101  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-acpi_thermal_pm]
root         102  0.0  0.0      0     0 ?        I    09:55   0:01 [kworker/u32:3-kcryptd-252:0-1]
root         103  0.0  0.0      0     0 ?        S    09:55   0:00 [hwrng]
root         109  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-dm_bufio_cache]
root         110  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-mld]
root         111  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ipv6_addrconf]
root         112  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/4:1H-i915_cleanup]
root         113  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kstrp]
root         199  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/3:1H-i915_cleanup]
root         200  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/5:1H-i915_cleanup]
root         242  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/0:1H-kblockd]
root         244  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/1:1H-i915_cleanup]
root         249  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/7:1H-kblockd]
root         250  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/2:1H-kblockd]
root         494  0.0  0.0      0     0 ?        S    09:55   0:02 [irq/35-DELL09E8:00]
root         505  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-wq]
root         506  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-reset-wq]
root         507  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-delete-wq]
root         508  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-auth-wq]
root         511  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-uas]
root         513  0.0  0.0      0     0 ?        S    09:55   0:00 [scsi_eh_0]
root         514  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-scsi_tmf_0]
root         515  0.0  0.0      0     0 ?        S    09:55   0:00 [usb-storage]
root         524  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-USBC000:00-con1]
root         528  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ttm]
root         529  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ttm]
root         532  0.0  0.0      0     0 ?        S    09:55   0:00 [card2-crtc0]
root         533  0.0  0.0      0     0 ?        S    09:55   0:00 [card2-crtc1]
root         534  0.0  0.0      0     0 ?        S    09:55   0:00 [card2-crtc2]
root         803  0.0  0.0      0     0 ?        S    09:55   0:00 [scsi_eh_1]
root         804  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-scsi_tmf_1]
root        1003  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kdmflush/252:0]
root        1004  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kcryptd_io-252:0-1]
root        1005  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kcryptd-252:0-1]
root        1006  0.0  0.0      0     0 ?        S    09:55   0:00 [dmcrypt_write/252:0]
root        1029  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-worker]
root        1030  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-delalloc]
root        1031  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-flush_delalloc]
root        1032  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-cache]
root        1033  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-fixup]
root        1034  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-endio]
root        1035  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-endio-meta]
root        1036  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-rmw]
root        1037  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-endio-write]
root        1038  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-freespace-write]
root        1039  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-delayed-meta]
root        1040  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-qgroup-rescan]
root        1041  0.0  0.0      0     0 ?        S    09:55   0:00 [btrfs-cleaner]
root        1042  0.0  0.0      0     0 ?        S    09:55   0:01 [btrfs-transaction]
root        1071  0.0  0.0      0     0 ?        I    09:55   0:01 [kworker/u32:5-btrfs-endio-meta]
root        1078  0.0  0.0      0     0 ?        I    09:55   0:02 [kworker/u32:7-btrfs-endio-meta]
root        1126  0.0  0.0      0     0 ?        S    09:55   0:00 [psimon]
root        1138  0.0  0.1 116732 24396 ?        Ss   09:55   0:01 /usr/lib/systemd/systemd-journald
root        1169  0.0  0.0  16608  7080 ?        Ss   09:55   0:00 /usr/lib/systemd/systemd-userdbd
root        1172  0.0  0.0      0     0 ?        I    09:55   0:00 [kworker/u32:10-btrfs-delalloc]
root        1173  0.0  0.0      0     0 ?        I    09:55   0:02 [kworker/u32:11-btrfs-endio]
root        1183  0.0  0.1  41560 16332 ?        Ss   09:55   0:00 /usr/lib/systemd/systemd-udevd
root        1187  0.0  0.0      0     0 ?        S    09:55   0:00 [psimon]
root        1268  0.0  0.0      0     0 ?        S    09:55   0:00 [irq/150-mei_me]
root        1270  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-cfg80211]
root        1273  0.1  0.0      0     0 ?        I<   09:55   0:04 [kworker/u33:1-i915_flip]
root        1277  0.0  0.0      0     0 ?        S    09:55   0:00 [jbd2/nvme0n1p7-8]
root        1278  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ext4-rsv-conversion]
root        1305  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ath10k_wq]
root        1306  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ath10k_aux_wq]
root        1308  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ath10k_tx_complete_wq]
systemd+    1363  0.0  0.1  25260 17284 ?        Ss   09:55   0:01 /usr/lib/systemd/systemd-resolved
root        1366  0.0  0.0  21100  3636 ?        S<sl 09:55   0:00 /usr/bin/auditd
dbus        1403  0.0  0.0   9624  5044 ?        Ss   09:55   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus        1404  0.0  0.0   9840  8016 ?        S    09:55   0:00 dbus-broker --log 10 --controller 9 --machine-id 42fb9f743c2d4a509f1ebb1fdb978262 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi       1407  0.0  0.0   6584  4712 ?        Ss   09:55   0:00 avahi-daemon: running [fedora.local]
root        1408  0.0  0.0   9432  6228 ?        Ss   09:55   0:00 /usr/libexec/bluetooth/bluetoothd
root        1412  0.0  0.0  81020  4316 ?        Ssl  09:55   0:00 /usr/sbin/irqbalance
chrony      1413  0.0  0.0  86424  6668 ?        Ss   09:55   0:00 /usr/sbin/chronyd -n -F 2
root        1415  0.0  0.0 303040  5968 ?        SLsl 09:55   0:00 /usr/libexec/low-memory-monitor
root        1418  0.0  0.0   2692  2168 ?        Ss   09:55   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd     1419  0.0  0.0 384308 12808 ?        Ssl  09:55   0:01 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit       1420  0.0  0.0  21728  3528 ?        SNsl 09:55   0:00 /usr/libexec/rtkit-daemon
root        1421  0.0  0.0   9684  6160 ?        Ss   09:55   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root        1422  0.0  0.0 531468  7468 ?        Ssl  09:55   0:00 /usr/libexec/switcheroo-control
root        1423  0.0  0.0  17248  8448 ?        Ss   09:55   0:00 /usr/lib/systemd/systemd-machined
root        1424  0.1  0.0 610680 10624 ?        Ssl  09:55   0:04 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1425  0.0  0.1 617812 19448 ?        Ssl  09:55   0:00 /usr/libexec/udisks2/udisksd
root        1426  0.0  0.0 542476 11748 ?        Ssl  09:55   0:00 /usr/libexec/upowerd
root        1434  0.0  0.0 534264  9124 ?        Ssl  09:55   0:00 /usr/libexec/accounts-daemon
root        1442  0.0  0.0  20064 11772 ?        Ss   09:55   0:00 /usr/lib/systemd/systemd-logind
avahi       1444  0.0  0.0   6448  1648 ?        S    09:55   0:00 avahi-daemon: chroot helper
root        1462  0.0  0.0      0     0 ?        S    09:55   0:00 [psimon]
root        1479  0.0  0.0 553504 14592 ?        Ssl  09:55   0:00 /usr/sbin/abrtd -d -s
root        1516  0.0  0.0 391308 13820 ?        Ssl  09:55   0:00 /usr/bin/ModemManager
root        1519  0.0  0.3 373084 53184 ?        Ssl  09:55   0:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1521  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-rpciod]
root        1522  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-xprtiod]
root        1535  0.0  0.4 1118276 65960 ?       Ss   09:55   0:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root        1536  0.0  0.3 1110044 63848 ?       Ss   09:55   0:00 /usr/bin/abrt-dump-journal-oops -fxtD
root        1537  0.0  0.3 1109916 53384 ?       Ss   09:55   0:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1559  0.0  0.0   4800  3408 ?        SNs  09:55   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        1602  0.0  0.1 560080 23944 ?        Ssl  09:55   0:01 /usr/bin/NetworkManager --no-daemon
root        1618  0.0  0.0  16568 11904 ?        Ss   09:55   0:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1633  0.0  0.0 252436 11848 ?        Ss   09:55   0:00 /usr/bin/cupsd -l
root        1634  0.0  0.0 282400  8568 ?        Ssl  09:55   0:00 /usr/bin/gssproxy -i
root        1635  0.0  0.2 499796 36452 ?        Ssl  09:55   0:00 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1656  0.0  0.2 498308 34292 ?        Ssl  09:55   0:00 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1710  0.0  0.3 1007864 56384 ?       Ssl  09:55   0:01 /usr/sbin/rsyslogd -n
root        1715  0.0  0.0   5124  3152 ?        Ss   09:55   0:00 /usr/sbin/atd -f
root        1716  0.0  0.0 232572  4008 ?        Ss   09:55   0:00 /usr/sbin/crond -n
root        1717  0.0  0.0 609244 10668 ?        Ssl  09:55   0:00 /usr/bin/gdm
root        1758  0.0  0.0 306180  7368 ?        Ssl  09:55   0:00 /usr/libexec/uresourced
root        1885  0.0  0.0      0     0 ?        S<   09:55   0:00 [krfcommd]
colord      1913  0.0  0.0 538836 13448 ?        Ssl  09:55   0:00 /usr/libexec/colord
root        2034  0.0  0.0 699316  9168 ?        Ssl  09:55   0:00 /usr/bin/pcscd --foreground --auto-exit
geoclue     2167  0.0  0.2 2372168 42388 ?       Ssl  09:55   0:00 /usr/libexec/geoclue
root        2825  0.0  0.0 405700 14476 ?        Sl   09:55   0:00 gdm-session-worker [pam/gdm-password]
suryava+    2922  0.0  0.1  24832 16184 ?        Ss   09:56   0:02 /usr/lib/systemd/systemd --user
suryava+    2924  0.0  0.0  17180  3260 ?        S    09:56   0:00 (sd-pam)
suryava+    2942  0.0  0.0 407300  8576 ?        Sl   09:56   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
suryava+    3020  0.0  0.0 391676  6212 tty2     Ssl+ 09:56   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
suryava+    3036  0.0  0.0   9100  4788 ?        Ss   09:56   0:00 /usr/bin/dbus-broker-launch --scope user
suryava+    3049  0.0  0.0   7812  5888 ?        S    09:56   0:00 dbus-broker --log 10 --controller 9 --machine-id 42fb9f743c2d4a509f1ebb1fdb978262 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
suryava+    3054  0.0  0.0 163832  6236 tty2     Sl+  09:56   0:00 /usr/libexec/gnome-session-init-worker gnome
suryava+    3118  0.0  0.0 311804  5916 ?        Ssl  09:56   0:00 /usr/libexec/gnome-session-ctl --monitor
suryava+    3119  0.0  0.0 382060 10384 ?        Ssl  09:56   0:00 /usr/libexec/uresourced --user
suryava+    3127  0.0  0.0 970248 11696 ?        Ssl  09:56   0:00 /usr/libexec/gnome-session-service --session=gnome
suryava+    3128  0.0  0.0 540112 10132 ?        Ssl  09:56   0:00 /usr/libexec/gvfsd
suryava+    3137  0.0  0.0 613632  7576 ?        Sl   09:56   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
suryava+    3147  0.0  0.0 335892 14896 ?        S<sl 09:56   0:00 /usr/bin/pipewire
suryava+    3149  0.3  0.2 945360 33724 ?        S<Lsl 09:56   0:12 /usr/bin/wireplumber
suryava+    3153  5.0  1.8 6367756 294900 ?      Ssl  09:56   2:34 /usr/bin/gnome-shell
suryava+    3214  0.0  0.0 380932  8108 ?        Ssl  09:56   0:00 /usr/libexec/at-spi-bus-launcher
suryava+    3220  0.0  0.0   8972  4384 ?        S    09:56   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
suryava+    3221  0.0  0.0   5088  3204 ?        S    09:56   0:00 dbus-broker --log 10 --controller 9 --machine-id 42fb9f743c2d4a509f1ebb1fdb978262 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
suryava+    3222  0.0  0.0 168428  7592 ?        Ssl  09:56   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
suryava+    3246  0.0  0.0 530848  6640 ?        Ssl  09:56   0:00 /usr/libexec/xdg-permission-store
suryava+    3252  0.0  0.1 668688 28040 ?        Ssl  09:56   0:00 /usr/libexec/gnome-shell-calendar-server
suryava+    3259  0.0  0.3 1043832 52964 ?       Ssl  09:56   0:00 /usr/libexec/evolution-source-registry
suryava+    3287  0.0  0.2 2983140 34980 ?       Ssl  09:56   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
suryava+    3300  0.0  0.0 612324 14096 ?        Ssl  09:56   0:00 /usr/bin/ibus-daemon --panel disable
suryava+    3307  0.0  0.0 478668 11072 ?        Ssl  09:56   0:00 /usr/libexec/gsd-a11y-settings
suryava+    3316  0.0  0.0 617280 11388 ?        Ssl  09:56   0:00 /usr/libexec/gsd-color
suryava+    3331  0.0  0.0 490244 14156 ?        Ssl  09:56   0:00 /usr/libexec/gsd-datetime
suryava+    3332  0.0  0.0 617004 11500 ?        Ssl  09:56   0:00 /usr/libexec/gsd-housekeeping
suryava+    3338  0.0  0.0 606584  8088 ?        Ssl  09:56   0:00 /usr/libexec/gsd-keyboard
suryava+    3347  0.0  0.0 836996 15024 ?        Ssl  09:56   0:00 /usr/libexec/gsd-media-keys
suryava+    3354  0.0  0.0 314532 10260 ?        Sl   09:56   0:00 /usr/libexec/gsd-disk-utility-notify
suryava+    3368  0.0  0.0 692064 12136 ?        Ssl  09:56   0:00 /usr/libexec/gsd-power
suryava+    3372  0.0  0.1 559300 16188 ?        Ssl  09:56   0:00 /usr/libexec/gsd-print-notifications
suryava+    3373  0.0  0.0 680440  8232 ?        Ssl  09:56   0:00 /usr/libexec/gsd-rfkill
suryava+    3374  0.0  0.0 393272  7488 ?        Ssl  09:56   0:00 /usr/libexec/gsd-screensaver-proxy
suryava+    3382  0.0  0.0 625832 13408 ?        Ssl  09:56   0:00 /usr/libexec/gsd-sharing
suryava+    3384  0.0  0.0 616660 13648 ?        Ssl  09:56   0:00 /usr/libexec/gsd-smartcard
suryava+    3391  0.0  0.0 473348 10324 ?        Ssl  09:56   0:00 /usr/libexec/gsd-sound
suryava+    3398  0.0  0.0 632692 10524 ?        Ssl  09:56   0:00 /usr/libexec/gsd-usb-protection
suryava+    3399  0.0  0.0 617836 12392 ?        Ssl  09:56   0:00 /usr/libexec/gsd-wwan
suryava+    3430  0.0  0.1 512772 22084 ?        Ssl  09:56   0:00 /usr/bin/abrt-applet --gapplication-service
suryava+    3434  0.0  0.0 466492  7628 ?        Sl   09:56   0:00 /usr/libexec/ibus-dconf
suryava+    3437  0.1  0.2 723612 36524 ?        Sl   09:56   0:03 /usr/libexec/ibus-extension-gtk3
suryava+    3527  0.0  0.0 531940  7700 ?        Ssl  09:56   0:00 /usr/libexec/ibus-portal
suryava+    3530  0.0  0.1 685536 32128 ?        Ssl  09:56   0:00 /usr/libexec/goa-daemon
suryava+    3531  0.0  0.2 2982144 35444 ?       Ssl  09:56   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
suryava+    3532  0.0  0.0 843704 15944 ?        Ssl  09:56   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
suryava+    3537  0.0  0.2 1100172 32488 ?       SNsl 09:56   0:00 /usr/libexec/localsearch-3
suryava+    3539  0.0  0.4 1273420 69736 ?       Ssl  09:56   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
suryava+    3542  0.8  1.4 1833412 240632 ?      Ssl  09:56   0:27 /usr/bin/gnome-software --gapplication-service
suryava+    3544  0.2  0.1 337044 17180 ?        S<sl 09:56   0:08 /usr/bin/pipewire-pulse
suryava+    3568  0.0  0.2 1124684 34888 ?       Ssl  09:56   0:00 /usr/libexec/evolution-calendar-factory
suryava+    3588  0.0  0.0 531684  7288 ?        Ssl  09:56   0:00 /usr/libexec/gvfs-mtp-volume-monitor
suryava+    3603  0.0  0.0 620084 11832 ?        Ssl  09:56   0:00 /usr/libexec/goa-identity-service
suryava+    3629  0.0  0.0 533568  8044 ?        Ssl  09:56   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
suryava+    3630  0.0  0.1 1191492 19024 ?       Ssl  09:56   0:00 /usr/libexec/xdg-desktop-portal
suryava+    3648  0.0  0.0 829748  7880 ?        Ssl  09:56   0:00 /usr/libexec/xdg-document-portal
root        3663  0.0  0.0   2588  2180 ?        Ss   09:56   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
suryava+    3678  0.0  0.2 994424 35036 ?        Ssl  09:56   0:00 /usr/libexec/evolution-addressbook-factory
suryava+    3679  0.0  0.0 531108  6660 ?        Ssl  09:56   0:00 /usr/libexec/gvfs-goa-volume-monitor
suryava+    3684  0.0  0.2 836480 45900 ?        Ssl  09:56   0:00 /usr/libexec/xdg-desktop-portal-gnome
sssd        3691  0.0  0.0 247624  9172 ?        Ss   09:56   0:00 /usr/libexec/sssd/sssd_kcm --logger=files
suryava+    3698  0.0  0.0 612536  8684 ?        Ssl  09:56   0:00 /usr/libexec/gvfs-afc-volume-monitor
root        3746  0.0  0.0 554180 15292 ?        Ssl  09:56   0:00 /usr/sbin/abrt-dbus -t133
suryava+    3791  0.0  0.0 392744  7836 ?        Sl   09:56   0:00 /usr/libexec/ibus-engine-simple
suryava+    3809  0.0  0.0 164212  6652 ?        Ssl  09:56   0:00 /usr/libexec/dconf-service
suryava+    3825  0.0  0.0 392516  7268 ?        Ssl  09:56   0:00 /usr/libexec/gvfsd-metadata
suryava+    3839  0.0  0.0 632244 14588 ?        Sl   09:56   0:00 /usr/libexec/gsd-printer
suryava+    4400  0.0  0.1 722744 27356 ?        Ssl  09:56   0:00 /usr/libexec/xdg-desktop-portal-gtk
suryava+    4409  0.0  0.0 537956  9068 ?        Ssl  09:56   0:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
root        4432  0.0  0.3 594844 51244 ?        Ssl  09:56   0:01 /usr/libexec/fwupd/fwupd
suryava+    4456  0.0  0.5 3877820 84636 ?       Sl   09:56   0:01 gjs /home/suryavamsivaggu/.local/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /home/suryavamsivaggu/.local/share/gnome-shell/extensions/ding@rastersoft.com/app
suryava+    4574  0.0  0.0 761692 11244 ?        Sl   09:56   0:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
suryava+    4858  0.0  0.4 1435272 72196 ?       Ssl  09:56   0:00 /usr/bin/gnome-calendar --gapplication-service
suryava+    4987  0.0  0.0  47680  8476 ?        Ss   09:56   0:00 /usr/libexec/bluetooth/obexd
suryava+    5048  3.4  3.4 51637104 561684 ?     SLl  09:56   1:45 /opt/google/chrome/chrome
suryava+    5053  0.0  0.0 230624  2100 ?        S    09:56   0:00 cat
suryava+    5054  0.0  0.0 230624  2180 ?        S    09:56   0:00 cat
suryava+    5055  0.0  0.0   5120  3572 ?        Ss   09:56   0:00 /usr/libexec/cgroupify app-gnome-google\x2dchrome-5048.scope
